model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-3,100,7.5e-05,1024,0.5046,0.5521,0.5046,0.5126,0.4212,0.0596,0.0128,0.0018,0.9258,0.9854,0.9982
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-4,100,7.5e-05,1024,0.5018,0.5447,0.5018,0.5093,0.4234,0.062,0.0112,0.0016,0.9252,0.9872,0.9984
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-5,100,7.5e-05,1024,0.4996,0.5437,0.4996,0.5082,0.4276,0.0616,0.0094,0.0018,0.9272,0.9888,0.9982
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-1,100,5e-05,1024,0.5114,0.5531,0.5114,0.5194,0.4142,0.0608,0.0122,0.0014,0.9256,0.9864,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-2,100,5e-05,1024,0.512,0.5517,0.512,0.5189,0.4122,0.0628,0.0112,0.0018,0.9242,0.987,0.9982
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-3,100,5e-05,1024,0.51,0.5478,0.51,0.5178,0.4134,0.063,0.011,0.0026,0.9234,0.9864,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-4,100,5e-05,1024,0.5066,0.5471,0.5066,0.514,0.4154,0.065,0.0116,0.0014,0.922,0.987,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-5,100,5e-05,1024,0.506,0.5428,0.506,0.5132,0.4178,0.0638,0.011,0.0014,0.9238,0.9876,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-1,100,2.5e-05,1024,0.5112,0.5531,0.5112,0.5184,0.412,0.0628,0.0122,0.0018,0.9232,0.986,0.9982
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-2,100,2.5e-05,1024,0.5094,0.5512,0.5094,0.5176,0.4182,0.06,0.0104,0.002,0.9276,0.9876,0.998
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-3,100,2.5e-05,1024,0.5068,0.5473,0.5068,0.5142,0.4174,0.062,0.0122,0.0016,0.9242,0.9862,0.9984
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-4,100,2.5e-05,1024,0.5068,0.5503,0.5068,0.5144,0.416,0.0638,0.012,0.0014,0.9228,0.9866,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-5,100,2.5e-05,1024,0.5096,0.5463,0.5096,0.5171,0.4176,0.0592,0.0118,0.0018,0.9272,0.9864,0.9982
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-1,100,0.0001,1024,0.4448,0.4221,0.4448,0.3596,0.3632,0.147,0.034,0.011,0.808,0.955,0.989
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-2,100,0.0001,1024,0.4522,0.4195,0.4522,0.3573,0.372,0.137,0.0302,0.0086,0.8242,0.9612,0.9914
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-3,100,0.0001,1024,0.3598,0.2096,0.3598,0.2161,0.4806,0.115,0.0402,0.0044,0.8404,0.9554,0.9956
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-4,100,0.0001,1024,0.332,0.1696,0.332,0.21,0.3968,0.2664,0.0032,0.0016,0.7288,0.9952,0.9984
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-5,100,0.0001,1024,0.4342,0.4096,0.4342,0.3198,0.3614,0.1534,0.0392,0.0118,0.7956,0.949,0.9882
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-1,100,1e-05,1024,0.219,0.2468,0.219,0.1041,0.44,0.1838,0.1572,0.0042,0.659,0.8428,0.9958
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-2,100,1e-05,1024,0.2,0.04,0.2,0.0667,0.4,0.2,0.2,0.0042,0.6,0.8,0.9958
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-3,100,1e-05,1024,0.2,0.04,0.2,0.0667,0.4,0.4,0.0048,0.0022,0.6,0.993,0.9978
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-4,100,1e-05,1024,0.2,0.04,0.2,0.0667,0.4,0.2,0.2,0.0022,0.6,0.8,0.9978
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-5,100,1e-05,1024,0.3902,0.2556,0.3902,0.2515,0.348,0.1854,0.059,0.0174,0.7382,0.9236,0.9826
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-1,100,7.5e-05,1024,0.3652,0.3029,0.3652,0.2386,0.4776,0.1122,0.0412,0.0038,0.8428,0.955,0.9962
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CORAL-2,100,7.5e-05,1024,0.446,0.4347,0.446,0.3349,0.364,0.1462,0.0336,0.0102,0.81,0.9562,0.9898
