model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-yelp-CORAL-TRIPa1p5-2,34,0.005,1024,0.5435,0.5681,0.5435,0.5526,0.3689,0.0722,0.0128,0.0025,0.9125,0.9846,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-CORAL-TRIPa1p5-3,34,0.005,1024,0.2,0.077,0.2,0.0953,0.5287,0.1498,0.1215,0.0025,0.7287,0.8785,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-CORAL-TRIPa1p5-4,34,0.005,1024,0.2461,0.1259,0.2461,0.1442,0.5756,0.1127,0.0656,0.0025,0.8217,0.9344,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-CORAL-TRIPa1p5-5,34,0.005,1024,0.5859,0.6009,0.5859,0.5914,0.3459,0.0529,0.0122,0.003,0.9318,0.9847,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa2-1,34,7.5e-05,1024,0.622,0.6371,0.622,0.6279,0.3217,0.0396,0.0103,0.0063,0.9437,0.9834,0.9937
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa2-2,34,7.5e-05,1024,0.6218,0.6263,0.6218,0.6232,0.3175,0.0418,0.0117,0.0072,0.9393,0.9811,0.9928
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa2-3,34,7.5e-05,1024,0.6234,0.6246,0.6234,0.6231,0.3147,0.0421,0.0123,0.0075,0.9381,0.9802,0.9925
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa2-4,34,7.5e-05,1024,0.627,0.6382,0.627,0.6313,0.3175,0.0387,0.0105,0.0064,0.9445,0.9832,0.9936
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa2-5,34,7.5e-05,1024,0.6227,0.6271,0.6227,0.6238,0.3171,0.0412,0.0119,0.0071,0.9398,0.981,0.9929
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa2-1,34,5e-05,1024,0.6183,0.6332,0.6183,0.6241,0.3278,0.0411,0.0092,0.0036,0.9461,0.9872,0.9964
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa2-2,34,5e-05,1024,0.6159,0.6346,0.6159,0.623,0.3297,0.0417,0.0093,0.0034,0.9456,0.9873,0.9966
